"File name","Dimensions","Model","Lens","Shutter speed","Aperture","ISO","Focal length","Date Original","Keywords",
"211215-5047.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₈₀ sec","ƒ / 22","ISO 100","35 mm","12/15/21 7:18:46 PM","TSS - Traditional Slow Shutter",
"211215-5048.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₈₀ sec","ƒ / 22","ISO 100","35 mm","12/15/21 7:18:57 PM","TRD - Traditional",
"211215-5049.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","35 mm","12/15/21 7:19:05 PM","TLS - Time Lines",
"211215-5050.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:14 PM","TLS - Time Lines",
"211215-5051.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:14 PM","TLS - Time Lines",
"211215-5052.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:27 PM","TLS - Time Lines",
"211215-5053.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:27 PM","TLS - Time Lines",
"211215-5054.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:27 PM","TLS - Time Lines",
"211215-5055.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:28 PM","TLS - Time Lines",
"211215-5056.CR2","4160 x 6240","Canon EOS 6D Mark II","EF16-35mm f/2.8L III USM","¹⁄₁₀ sec","ƒ / 22","ISO 100","16 mm","12/15/21 7:19:48 PM","TSS - Traditional Slow Shutter",
