"File name","Dimensions","Model","Lens","Shutter speed","Aperture","ISO","Focal length","Date Original","Keywords",
"230714-7824.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₃₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:52 PM","TRD - Traditional",
"230714-7825.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:54 PM","TRD - Traditional",
"230714-7826.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:55 PM","TRD - Traditional",
"230714-7827.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:56 PM","TSS - Traditional Slow Shutter",
"230714-7828.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:57 PM","TSS - Traditional Slow Shutter",
"230714-7829.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:57 PM","TSS - Traditional Slow Shutter",
"230714-7830.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:58 PM","TSS - Traditional Slow Shutter",
"230714-7831.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:58 PM","TSS - Traditional Slow Shutter",
"230714-7832.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:59 PM","TSS - Traditional Slow Shutter",
"230714-7833.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:47:59 PM","TSS - Traditional Slow Shutter",
"230714-7834.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:00 PM","TSS - Traditional Slow Shutter",
"230714-7835.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:02 PM","TSS - Traditional Slow Shutter",
"230714-7836.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:03 PM","TSS - Traditional Slow Shutter",
"230714-7837.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:03 PM","TSS - Traditional Slow Shutter",
"230714-7838.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:03 PM","TSS - Traditional Slow Shutter",
"230714-7839.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:04 PM","TSS - Traditional Slow Shutter",
"230714-7840.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:04 PM","TSS - Traditional Slow Shutter",
"230714-7841.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:05 PM","TSS - Traditional Slow Shutter",
"230714-7842.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:05 PM","TSS - Traditional Slow Shutter",
"230714-7843.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₃ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:11 PM","ATT - As Time Turns",
"230714-7844.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₃ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:15 PM","ATT - As Time Turns",
"230714-7845.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₃ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:18 PM","ATT - As Time Turns",
"230714-7846.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₂₀ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:18 PM","ATT - As Time Turns",
"230714-7847.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₅ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:20 PM","ATT - As Time Turns",
"230714-7848.CR2","4160 x 6240","Canon EOS 6D Mark II","EF35mm f/1.4L II USM","¹⁄₁₃ sec","ƒ / 2.8","ISO 200","35 mm","7/14/23 6:48:24 PM","ATT - As Time Turns",
